entity,complexity,domain,priority
SOLID_WITH_DOUBLE_OFFSET_CHAMFER,SIMPLE,product,175
SOLID_WITH_EXCESSIVE_NUMBER_OF_VOIDS,SIMPLE,product,175
SOLID_WITH_FLAT_BOTTOM_ROUND_HOLE,SIMPLE,product,175
SOLID_WITH_GENERAL_POCKET,SIMPLE,product,175
SOLID_WITH_GENERAL_PROTRUSION,SIMPLE,product,175
SOLID_WITH_GROOVE,SIMPLE,product,175
SOLID_WITH_HOLE,SIMPLE,product,175
SOLID_WITH_INCOMPLETE_CIRCULAR_PATTERN,SIMPLE,product,175
SOLID_WITH_POCKET,SIMPLE,product,175
SOLID_WITH_PROTRUSION,SIMPLE,product,175
SOLID_WITH_SINGLE_OFFSET_CHAMFER,SIMPLE,product,175
SOLID_WITH_SLOT,SIMPLE,product,175
SOLID_WITH_SPHERICAL_BOTTOM_ROUND_HOLE,SIMPLE,product,175
SOLID_WITH_STEPPED_ROUND_HOLE,SIMPLE,product,175
SOLID_WITH_STEPPED_ROUND_HOLE_AND_CONICAL_TRANSITIONS,SIMPLE,product,175
SOLID_WITH_STRAIGHT_SLOT,SIMPLE,product,175
SOLID_WITH_TEE_SECTION_SLOT,SIMPLE,product,175
SOLID_WITH_THROUGH_DEPRESSION,SIMPLE,product,175
SOLID_WITH_TRAPEZOIDAL_SECTION_SLOT,SIMPLE,product,175
SOLID_WITH_WRONG_NUMBER_OF_VOIDS,SIMPLE,product,175
THERMAL_COMPONENT,SIMPLE,product,175
ANNOTATION_FILL_AREA_OCCURRENCE,SIMPLE,annotation,170
ANNOTATION_OCCURRENCE,SIMPLE,annotation,170
ANNOTATION_OCCURRENCE_ASSOCIATIVITY,SIMPLE,annotation,170
ANNOTATION_PLACEHOLDER_OCCURRENCE,SIMPLE,annotation,170
ANNOTATION_SUBFIGURE_OCCURRENCE,SIMPLE,annotation,170
BACKGROUND_COLOUR,SIMPLE,annotation,170
CAMERA_IMAGE_2D_WITH_SCALE,SIMPLE,annotation,170
CAMERA_IMAGE_3D_WITH_SCALE,SIMPLE,annotation,170
CAMERA_MODEL,SIMPLE,annotation,170
CAMERA_MODEL_D3_MULTI_CLIPPING,SIMPLE,annotation,170
CAMERA_MODEL_D3_MULTI_CLIPPING_INTERSECTION,SIMPLE,annotation,170
CAMERA_MODEL_D3_MULTI_CLIPPING_UNION,SIMPLE,annotation,170
CAMERA_MODEL_D3_WITH_HLHSR,SIMPLE,annotation,170
CAMERA_MODEL_WITH_LIGHT_SOURCES,SIMPLE,annotation,170
CHARACTER_GLYPH_STYLE_STROKE,SIMPLE,annotation,170
CHARACTER_GLYPH_SYMBOL,SIMPLE,annotation,170
CHARACTER_GLYPH_SYMBOL_STROKE,SIMPLE,annotation,170
COMPOSITE_TEXT_WITH_BLANKING_BOX,SIMPLE,annotation,170
COMPOSITE_TEXT_WITH_EXTENT,SIMPLE,annotation,170
CONTEXT_DEPENDENT_INVISIBILITY,SIMPLE,annotation,170
CONTEXT_DEPENDENT_OVER_RIDING_STYLED_ITEM,SIMPLE,annotation,170
DEFINED_SYMBOL,SIMPLE,annotation,170
DESCRIPTION_TEXT,SIMPLE,annotation,170
DIMENSION_TEXT_ASSOCIATIVITY,SIMPLE,annotation,170
DRAUGHTING_ANNOTATION_OCCURRENCE,SIMPLE,annotation,170
DRAUGHTING_ELEMENTS,SIMPLE,annotation,170
DRAUGHTING_MODEL,SIMPLE,annotation,170
DRAUGHTING_MODEL_ITEM_ASSOCIATION,SIMPLE,annotation,170
DRAUGHTING_MODEL_ITEM_ASSOCIATION_WITH_PLACEHOLDER,SIMPLE,annotation,170
DRAUGHTING_PRE_DEFINED_COLOUR,SIMPLE,annotation,170
DRAUGHTING_PRE_DEFINED_TEXT_FONT,SIMPLE,annotation,170
DRAUGHTING_SPECIFICATION_REFERENCE,SIMPLE,annotation,170
DRAUGHTING_TITLE,SIMPLE,annotation,170
EXTERNALLY_DEFINED_COLOUR,SIMPLE,annotation,170
EXTERNALLY_DEFINED_CONTEXT_DEPENDENT_UNIT,SIMPLE,annotation,170
EXTERNALLY_DEFINED_STYLE,SIMPLE,annotation,170
EXTERNALLY_DEFINED_SYMBOL,SIMPLE,annotation,170
EXTERNALLY_DEFINED_TERMINATOR_SYMBOL,SIMPLE,annotation,170
EXTERNALLY_DEFINED_TEXT_FONT,SIMPLE,annotation,170
FILL_AREA_STYLE_TILES,SIMPLE,annotation,170
FILL_AREA_STYLE_TILE_COLOURED_REGION,SIMPLE,annotation,170
FILL_AREA_STYLE_TILE_SYMBOL_WITH_STYLE,SIMPLE,annotation,170
GENERIC_CHARACTER_GLYPH_SYMBOL,SIMPLE,annotation,170
